session_id,user_id,timestamp,channel,device,session_duration,page_views
SES_000032,USER_000827,2025-11-25 16:21:22,Organic Search,Desktop,162,8
SES_000033,USER_001071,2025-10-05 05:33:22,Organic Search,Mobile,192,19
SES_000034,USER_000937,2025-10-29 19:31:22,Social Media,Mobile,25,10
SES_000035,USER_000544,2025-10-29 13:18:22,Direct,Desktop,138,17
SES_000036,USER_001441,2025-10-05 23:14:22,Paid Search,Desktop,103,18
SES_000037,USER_001923,2025-10-28 07:09:22,Organic Search,Tablet,64,4
SES_000038,USER_001470,2025-10-06 19:25:22,Referral,Mobile,59,7
SES_000039,USER_000190,2025-11-01 18:01:22,Social Media,Mobile,424,2
SES_000040,USER_000331,2025-12-10 01:11:22,Organic Search,Desktop,182,9
SES_000041,USER_000074,2025-11-15 05:03:22,Organic Search,Tablet,421,18
SES_000042,USER_001841,2025-11-06 05:53:22,Paid Search,Mobile,412,2
SES_000043,USER_001995,2025-11-03 18:01:22,Organic Search,Tablet,387,14
SES_000044,USER_000368,2025-12-08 10:27:22,Paid Search,Desktop,383,1
SES_000045,USER_000784,2025-11-01 01:09:22,Referral,Mobile,31,4
SES_000046,USER_000817,2025-09-24 02:32:22,Email,Desktop,45,7
SES_000047,USER_000679,2025-10-31 20:13:22,Social Media,Tablet,91,18
SES_000048,USER_000890,2025-09-22 15:14:22,Paid Search,Mobile,7,20
SES_000049,USER_000390,2025-11-03 11:08:22,Direct,Desktop,87,19
SES_000050,USER_000746,2025-10-21 13:03:22,Direct,Tablet,208,7
SES_000051,USER_001039,2025-11-13 14:00:22,Direct,Desktop,228,10
SES_000052,USER_001388,2025-10-29 08:44:22,Referral,Desktop,38,13
SES_000053,USER_001610,2025-10-12 06:54:22,Direct,Mobile,60,14
SES_000054,USER_001350,2025-12-03 06:59:22,Email,Desktop,128,6
SES_000055,USER_001652,2025-09-29 20:50:22,Direct,Desktop,201,8
SES_000056,USER_000399,2025-10-14 15:19:22,Email,Desktop,109,19
SES_000057,USER_001595,2025-12-17 23:49:22,Paid Search,Desktop,401,4
SES_000058,USER_000935,2025-11-12 18:29:22,Referral,Desktop,146,4
SES_000059,USER_000874,2025-10-07 02:00:22,Direct,Mobile,170,17
SES_000060,USER_001569,2025-11-29 02:15:22,Email,Desktop,329,9
SES_000061,USER_000655,2025-11-25 02:58:22,Email,Mobile,48,11
SES_000062,USER_000835,2025-11-27 13:26:22,Email,Tablet,43,14
SES_000063,USER_001938,2025-11-01 04:47:22,Paid Search,Mobile,423,19
SES_000064,USER_001544,2025-12-17 12:12:22,Direct,Desktop,514,10
SES_000065,USER_000893,2025-11-08 00:52:22,Direct,Desktop,120,9
SES_000066,USER_001884,2025-11-20 11:42:22,Referral,Tablet,32,15
SES_000067,USER_000278,2025-10-06 06:52:22,Email,Tablet,4,14
SES_000068,USER_000570,2025-11-17 16:21:22,Social Media,Mobile,74,13
SES_000069,USER_000460,2025-11-11 20:11:22,Organic Search,Desktop,1672,12
SES_000070,USER_001273,2025-12-11 14:07:22,Organic Search,Desktop,40,1
SES_000071,USER_001571,2025-10-08 18:26:22,Organic Search,Desktop,112,9
SES_000072,USER_001186,2025-11-05 16:56:22,Referral,Desktop,602,4
SES_000073,USER_001415,2025-09-22 20:54:22,Email,Tablet,39,19
SES_000074,USER_001603,2025-12-08 18:24:22,Social Media,Tablet,294,19
SES_000075,USER_001685,2025-09-24 22:52:22,Social Media,Tablet,75,14
SES_000076,USER_000361,2025-11-20 14:45:22,Referral,Mobile,221,14
SES_000077,USER_000550,2025-11-25 07:35:22,Direct,Mobile,102,19
SES_000078,USER_001250,2025-10-30 19:11:22,Social Media,Desktop,249,19
SES_000079,USER_000698,2025-12-13 23:39:22,Social Media,Desktop,78,9
SES_000080,USER_001001,2025-10-25 07:02:22,Direct,Desktop,16,14
SES_000081,USER_000829,2025-11-29 19:02:22,Referral,Desktop,17,8
SES_000082,USER_000678,2025-12-16 18:37:22,Social Media,Tablet,75,18
SES_000083,USER_001522,2025-11-04 09:47:22,Social Media,Tablet,38,4
SES_000084,USER_001223,2025-11-27 09:29:22,Referral,Tablet,160,17
SES_000085,USER_000260,2025-10-25 15:11:22,Paid Search,Mobile,2,18
SES_000086,USER_000211,2025-10-24 12:21:22,Referral,Tablet,365,16
SES_000087,USER_000234,2025-09-21 05:36:22,Email,Desktop,52,16
SES_000088,USER_001944,2025-09-27 23:49:22,Referral,Desktop,29,19
SES_000089,USER_000780,2025-10-27 13:33:22,Email,Tablet,46,17
SES_000090,USER_001941,2025-11-16 01:37:22,Email,Tablet,11,4
SES_000091,USER_000006,2025-10-16 07:31:22,Organic Search,Desktop,144,6
SES_000092,USER_000146,2025-11-11 02:02:22,Social Media,Mobile,220,15
SES_000093,USER_000461,2025-12-15 19:17:22,Referral,Desktop,99,18
SES_000094,USER_001534,2025-12-10 16:16:22,Paid Search,Desktop,283,20
SES_000095,USER_001106,2025-11-30 20:46:22,Referral,Mobile,514,17
SES_000096,USER_000469,2025-11-22 01:23:22,Email,Tablet,51,3
SES_000097,USER_000964,2025-12-15 05:55:22,Referral,Tablet,7,6
SES_000098,USER_001985,2025-11-25 07:46:22,Paid Search,Mobile,181,16
SES_000099,USER_000591,2025-10-01 02:40:22,Social Media,Desktop,72,16
SES_000100,USER_001987,2025-12-13 00:10:22,Organic Search,Mobile,52,4
SES_000101,USER_001062,2025-11-10 04:10:22,Referral,Mobile,95,7
SES_000102,USER_001900,2025-11-05 07:06:22,Email,Desktop,55,5
SES_000103,USER_001454,2025-10-26 02:14:22,Organic Search,Tablet,168,8
SES_000104,USER_001327,2025-10-09 20:53:22,Email,Desktop,111,4
SES_000105,USER_000500,2025-10-09 03:17:22,Direct,Mobile,324,16
SES_000106,USER_001583,2025-11-17 04:27:22,Direct,Desktop,359,9
SES_000107,USER_001188,2025-11-11 22:17:22,Social Media,Mobile,233,19
SES_000108,USER_000773,2025-12-13 03:13:22,Direct,Mobile,144,18
SES_000109,USER_000090,2025-11-16 22:13:22,Referral,Mobile,47,14
SES_000110,USER_001015,2025-10-30 10:48:22,Email,Tablet,282,5
SES_000111,USER_000032,2025-09-23 15:50:22,Social Media,Mobile,18,15
SES_000112,USER_001331,2025-10-08 01:13:22,Paid Search,Mobile,74,13
SES_000113,USER_001787,2025-09-29 22:12:22,Direct,Mobile,177,16
SES_000114,USER_000889,2025-11-27 12:57:22,Referral,Mobile,1073,3
SES_000115,USER_000665,2025-10-02 08:03:22,Email,Mobile,420,2
SES_000116,USER_000349,2025-09-26 20:40:22,Paid Search,Mobile,150,6
SES_000117,USER_000476,2025-10-11 13:57:22,Direct,Mobile,439,5
SES_000118,USER_000324,2025-11-18 07:34:22,Referral,Mobile,416,18
SES_000119,USER_001732,2025-09-29 01:40:22,Social Media,Mobile,210,15
SES_000120,USER_001433,2025-10-27 17:42:22,Organic Search,Tablet,80,10
SES_000121,USER_001865,2025-10-26 12:11:22,Social Media,Tablet,271,2
SES_000122,USER_000449,2025-12-06 10:49:22,Social Media,Desktop,168,12
SES_000123,USER_001851,2025-12-09 17:57:22,Referral,Tablet,328,4
SES_000124,USER_001863,2025-12-09 07:20:22,Email,Mobile,237,3
SES_000125,USER_001088,2025-10-26 22:05:22,Paid Search,Tablet,376,12
SES_000126,USER_001648,2025-11-22 20:11:22,Email,Mobile,247,11
SES_000127,USER_001981,2025-10-04 01:22:22,Paid Search,Tablet,201,13
SES_000128,USER_001198,2025-11-29 22:23:22,Organic Search,Desktop,109,9
SES_000129,USER_000672,2025-11-07 07:41:22,Paid Search,Tablet,388,18
SES_000130,USER_000287,2025-12-06 18:59:22,Email,Mobile,188,4
SES_000131,USER_000760,2025-09-24 12:37:22,Organic Search,Tablet,26,15
SES_000132,USER_001342,2025-12-14 11:02:22,Email,Tablet,30,14
SES_000133,USER_001947,2025-10-02 02:57:22,Social Media,Mobile,44,15
SES_000134,USER_000566,2025-10-19 22:24:22,Social Media,Tablet,79,13
SES_000135,USER_000104,2025-10-13 15:12:22,Organic Search,Tablet,183,1
SES_000136,USER_001666,2025-10-31 18:26:22,Paid Search,Tablet,41,7
SES_000137,USER_000267,2025-10-18 22:07:22,Direct,,351,5
SES_000138,USER_001206,2025-11-27 20:09:22,Referral,Desktop,2,8
SES_000139,USER_000976,2025-10-30 11:29:22,Paid Search,Tablet,21,3
SES_000140,USER_000618,2025-11-15 22:50:22,Email,Tablet,7,17
SES_000141,USER_001459,2025-11-17 07:19:22,Email,Mobile,208,16
SES_000142,USER_001124,2025-11-14 14:15:22,Direct,Desktop,57,19
SES_000143,USER_001747,2025-10-30 23:56:22,Email,Mobile,18,4
SES_000144,USER_000848,2025-12-12 08:14:22,Referral,Mobile,108,8
SES_000145,USER_001953,2025-11-02 01:43:22,Organic Search,Mobile,196,12
SES_000146,USER_001663,2025-10-09 09:17:22,Organic Search,Desktop,101,12
SES_000147,USER_001790,2025-10-06 04:21:22,Direct,Tablet,23,12
SES_000148,USER_001184,2025-12-14 01:13:22,Organic Search,Tablet,67,4
SES_000149,USER_000236,2025-11-22 17:27:22,Paid Search,Mobile,336,12
SES_000150,USER_000054,2025-10-25 05:32:22,Direct,Tablet,171,18
SES_000151,USER_000719,2025-12-06 09:11:22,Organic Search,Tablet,258,11
SES_000152,USER_000188,2025-09-19 17:13:22,Referral,Desktop,243,1
SES_000153,USER_001222,2025-11-25 17:42:22,Social Media,Mobile,230,19
SES_000154,USER_000995,2025-09-29 12:27:22,Direct,Desktop,57,14
SES_000155,USER_000997,2025-12-06 01:44:22,Direct,Mobile,21,19
SES_000156,USER_001937,2025-11-26 08:37:22,Email,Desktop,1,10
SES_000157,USER_000265,2025-10-16 16:06:22,Social Media,Mobile,247,6
SES_000158,USER_000894,2025-11-07 05:03:22,Direct,Mobile,13,2
SES_000159,USER_000593,2025-09-22 02:16:22,Social Media,Tablet,93,14
SES_000160,USER_000181,2025-10-03 23:19:22,Paid Search,Tablet,110,12
SES_000161,USER_000454,2025-11-13 14:33:22,Email,Mobile,367,11
SES_000162,USER_000720,2025-10-31 16:22:22,Organic Search,Desktop,425,12
SES_000163,USER_000363,2025-12-10 15:33:22,Social Media,Tablet,29,3
SES_000164,USER_000662,2025-12-09 02:47:22,Direct,Tablet,185,20
SES_000165,USER_000116,2025-12-08 21:27:22,Email,Mobile,286,19
SES_000166,USER_001321,2025-11-04 03:22:22,Email,Mobile,320,3
SES_000167,USER_001862,2025-10-01 06:56:22,Email,Tablet,407,15
SES_000168,USER_001463,2025-12-02 07:30:22,Email,Desktop,107,11
SES_000169,USER_000326,2025-09-30 03:59:22,Paid Search,Mobile,133,20
SES_000170,USER_000135,2025-11-04 23:16:22,Email,Tablet,163,11
SES_000171,USER_001789,2025-10-31 14:53:22,Social Media,Tablet,600,20
SES_000172,USER_000265,2025-10-08 21:23:22,Paid Search,Mobile,617,13
SES_000173,USER_000192,2025-12-05 09:23:22,Email,Mobile,301,17
SES_000174,USER_001941,2025-12-11 08:45:22,Organic Search,Desktop,543,11
SES_000175,USER_001711,2025-11-20 17:32:22,Paid Search,Desktop,127,18
SES_000176,USER_001703,2025-11-25 13:00:22,Direct,Mobile,30,6
SES_000177,USER_001986,2025-12-17 07:09:22,Referral,Mobile,81,8
SES_000178,USER_001852,2025-11-15 06:36:22,Email,Desktop,66,16
SES_000179,USER_001081,2025-10-13 23:01:22,Email,Mobile,271,17
SES_000180,USER_001791,2025-11-11 17:10:22,Direct,Mobile,9,16
SES_000181,USER_000559,2025-11-06 05:17:22,Direct,Mobile,15,6
SES_000182,USER_001906,2025-11-16 03:27:22,Organic Search,Desktop,305,12
SES_000183,USER_000653,2025-09-23 00:21:22,Social Media,Desktop,84,1
SES_000184,USER_001426,2025-10-02 09:59:22,Paid Search,Mobile,448,16
SES_000185,USER_001124,2025-10-07 09:48:22,Organic Search,Desktop,53,5
SES_000186,USER_001309,2025-12-06 03:45:22,Social Media,Desktop,8,14
SES_000187,USER_000496,2025-12-08 01:22:22,Email,Desktop,179,19
SES_000188,USER_001073,2025-10-07 20:45:22,,Tablet,96,3
SES_000189,USER_001302,2025-11-04 13:51:22,Direct,Mobile,371,2
SES_000190,USER_001581,2025-11-07 22:34:22,Social Media,Mobile,49,4
SES_000191,USER_001701,2025-12-03 11:06:22,Organic Search,Mobile,302,6
SES_000192,USER_000076,2025-12-16 02:02:22,Paid Search,Desktop,226,15
SES_000193,USER_000970,2025-10-26 17:20:22,Organic Search,Mobile,130,18
SES_000194,USER_000560,2025-10-21 13:06:22,Social Media,Desktop,361,11
SES_000195,USER_001017,2025-10-04 22:45:22,Referral,Mobile,74,6
SES_000196,USER_000882,2025-12-17 02:41:22,Direct,Desktop,233,3
SES_000197,USER_001235,2025-12-05 16:52:22,Organic Search,Tablet,63,15
SES_000198,USER_000563,2025-11-12 17:02:22,Email,Mobile,171,14
SES_000199,USER_000293,2025-12-09 12:22:22,Email,Tablet,204,1
SES_000200,USER_001945,2025-12-06 09:08:22,Paid Search,Tablet,82,13
SES_000201,USER_001176,2025-11-30 12:56:22,Email,Mobile,105,3
SES_000202,USER_001023,2025-10-07 03:41:22,Referral,Desktop,4,6
SES_000203,USER_000585,2025-11-25 00:16:22,Social Media,Tablet,106,20
SES_000204,USER_001660,2025-12-17 02:30:22,Organic Search,Tablet,106,3
SES_000205,USER_001458,2025-12-15 22:00:22,Organic Search,Mobile,399,6
SES_000206,USER_000485,2025-12-19 09:58:22,Social Media,Desktop,757,5
SES_000207,USER_000135,2025-11-21 11:41:22,Social Media,Tablet,25,3
SES_000208,USER_000257,2025-10-29 00:03:22,Direct,Mobile,312,3
SES_000209,USER_001311,2025-10-30 07:22:22,Referral,Desktop,378,18
SES_000210,USER_000314,2025-12-03 17:07:22,Email,Desktop,320,17
SES_000211,USER_000514,2025-10-27 16:28:22,Referral,Tablet,405,3
SES_000212,USER_001213,2025-10-15 07:53:22,Referral,Tablet,17,6
SES_000213,USER_000085,2025-12-02 15:28:22,Referral,Mobile,332,19
SES_000214,USER_001266,2025-09-22 13:20:22,Direct,Desktop,262,14
SES_000215,USER_000610,2025-12-09 11:49:22,Direct,Mobile,118,13
SES_000216,USER_000295,2025-11-16 14:02:22,Email,Mobile,41,20
SES_000217,USER_001151,2025-10-30 09:38:22,Social Media,Desktop,257,17
SES_000218,USER_001937,2025-10-02 21:33:22,Social Media,Desktop,18,10
SES_000219,USER_001563,2025-11-08 06:44:22,Paid Search,Tablet,229,7
SES_000220,USER_000937,2025-10-10 02:50:22,Social Media,Desktop,522,17
SES_000221,USER_000586,2025-10-19 17:55:22,Organic Search,Tablet,385,16
SES_000222,USER_000750,2025-11-26 12:12:22,Paid Search,Tablet,81,13
SES_000223,USER_000923,2025-09-24 23:21:22,Paid Search,Mobile,13,17
SES_000224,USER_000765,2025-11-28 20:10:22,Referral,Desktop,664,13
SES_000225,USER_000080,2025-11-02 04:41:22,Paid Search,Mobile,124,2
SES_000226,USER_000672,2025-10-07 09:39:22,Direct,Tablet,402,5
SES_000227,USER_001697,2025-12-06 21:28:22,Direct,Mobile,162,17
SES_000228,USER_000854,2025-11-24 04:49:22,Social Media,Desktop,82,4
SES_000229,USER_001183,2025-12-02 21:08:22,Referral,Tablet,115,19
SES_000230,USER_000303,2025-10-19 10:21:22,Paid Search,Tablet,174,13
SES_000231,USER_000311,2025-12-15 18:20:22,Referral,Desktop,104,14
SES_000232,USER_001063,2025-11-11 09:31:22,Direct,Tablet,233,5
SES_000233,USER_001869,2025-10-16 04:38:22,Email,Mobile,565,15
SES_000234,USER_000394,2025-11-26 21:52:22,Referral,Tablet,55,16
SES_000235,USER_000650,2025-10-20 19:53:22,Social Media,Tablet,41,16
SES_000236,USER_000778,2025-11-19 22:53:22,Referral,Desktop,153,18
SES_000237,USER_001344,2025-11-08 23:07:22,Social Media,Tablet,14,15
SES_000238,USER_000224,2025-10-22 10:48:22,Direct,Tablet,214,5
SES_000239,USER_000108,2025-12-07 10:55:22,Organic Search,Tablet,46,8
SES_000240,USER_001903,2025-10-02 00:39:22,Organic Search,Desktop,0,18
SES_000241,USER_000658,2025-10-10 00:59:22,Email,Desktop,253,10
SES_000242,USER_001871,2025-10-26 07:21:22,Organic Search,Desktop,137,2
SES_000243,USER_001919,2025-10-12 01:14:22,Organic Search,Mobile,279,6
SES_000244,USER_001074,2025-10-26 12:18:22,Direct,Mobile,60,18
SES_000245,USER_001328,2025-11-21 16:12:22,Social Media,Desktop,72,15
SES_000246,USER_000360,2025-10-22 09:29:22,Social Media,Tablet,201,7
SES_000247,USER_000379,2025-12-07 08:15:22,Email,Desktop,92,4
SES_000248,USER_001954,2025-10-07 02:38:22,Organic Search,Desktop,106,9
SES_000249,USER_001368,2025-10-31 20:55:22,Organic Search,Mobile,212,2
SES_000250,USER_001309,2025-10-05 01:37:22,Referral,Tablet,264,4
SES_000251,USER_000766,2025-10-26 22:57:22,Paid Search,Mobile,247,20
SES_000252,USER_001789,2025-11-12 09:53:22,Direct,Desktop,258,20
SES_000253,USER_001850,2025-09-30 03:46:22,Social Media,Tablet,21,18
SES_000254,USER_001469,2025-11-22 17:54:22,Paid Search,Tablet,104,7
SES_000255,USER_000936,2025-12-03 02:23:22,Email,Mobile,25,14
SES_000256,USER_001528,2025-11-30 12:53:22,Social Media,Mobile,52,1
SES_000257,USER_001913,2025-10-17 05:22:22,Social Media,Tablet,924,3
SES_000258,USER_000767,2025-11-18 12:36:22,Paid Search,Tablet,186,14
SES_000259,USER_000273,2025-11-07 02:13:22,Email,Tablet,599,18
SES_000260,USER_001710,2025-12-11 22:25:22,Direct,Desktop,234,8
SES_000261,USER_000507,2025-09-19 11:37:22,Referral,Tablet,85,8
SES_000262,USER_001260,2025-11-16 22:27:22,Referral,Desktop,298,14
SES_000263,USER_000502,2025-09-21 18:31:22,Direct,Tablet,200,2
SES_000264,USER_000480,2025-09-24 23:46:22,Paid Search,Desktop,27,10
SES_000265,USER_001353,2025-12-01 21:54:22,Referral,Desktop,64,5
SES_000266,USER_001283,2025-11-24 18:44:22,Organic Search,Tablet,381,6
SES_000267,USER_000653,2025-12-15 00:53:22,Social Media,Tablet,86,17
SES_000268,USER_000616,2025-12-18 00:44:22,Email,Tablet,115,8
SES_000269,USER_000796,2025-12-18 16:09:22,Organic Search,Mobile,146,5
SES_000270,USER_000106,2025-10-20 19:31:22,Organic Search,Mobile,17,7
SES_000271,USER_001484,2025-10-24 00:01:22,Organic Search,Desktop,293,19
SES_000272,USER_001971,2025-12-14 04:31:22,Social Media,Desktop,42,7
SES_000273,USER_001131,2025-10-05 11:06:22,Paid Search,Tablet,41,8
SES_000274,USER_000955,2025-10-30 20:42:22,Referral,Mobile,80,16
SES_000275,USER_001153,2025-10-02 10:48:22,Social Media,Mobile,67,2
SES_000276,USER_000313,2025-10-18 10:27:22,Direct,Tablet,229,10
SES_000277,USER_000528,2025-10-14 21:32:22,Paid Search,Tablet,517,11
SES_000278,USER_001001,2025-11-21 10:59:22,Email,Mobile,33,18
SES_000279,USER_001566,2025-10-13 04:59:22,Direct,Desktop,522,2
SES_000280,USER_000934,2025-09-20 00:26:22,Paid Search,Desktop,1,17
SES_000281,USER_001090,2025-11-05 12:57:22,Direct,Tablet,120,1
SES_000282,USER_001652,2025-11-29 00:18:22,Referral,Mobile,3,14
SES_000283,USER_000548,2025-10-11 15:16:22,Paid Search,Tablet,134,12
SES_000284,USER_001339,2025-11-08 13:41:22,Email,Tablet,46,3
SES_000285,USER_000170,2025-12-11 12:23:22,Email,Desktop,182,6
SES_000286,USER_000471,2025-11-22 00:59:22,Direct,Desktop,405,2
SES_000287,USER_001842,2025-10-17 10:14:22,Social Media,Desktop,207,9
SES_000288,USER_001903,2025-11-28 06:00:22,Social Media,Desktop,159,13
SES_000289,USER_000680,2025-09-28 20:28:22,Direct,Mobile,203,18
SES_000290,USER_000110,2025-11-08 10:26:22,Referral,Tablet,246,12
SES_000291,USER_001985,2025-10-02 00:32:22,Social Media,Tablet,557,13
SES_000292,USER_000885,2025-10-30 11:58:22,Email,Mobile,144,13
SES_000293,USER_000169,2025-10-13 08:55:22,Organic Search,Mobile,287,3
SES_000294,USER_000188,2025-10-23 15:42:22,Referral,Mobile,68,4
SES_000295,USER_001141,2025-09-19 20:46:22,Social Media,Desktop,37,15
SES_000296,USER_001769,2025-11-30 03:44:22,Organic Search,Desktop,163,11
SES_000297,USER_001172,2025-11-07 11:36:22,Organic Search,Tablet,424,8
SES_000298,USER_000343,2025-11-24 17:01:22,Paid Search,Mobile,122,3
SES_000299,USER_001217,2025-11-13 19:44:22,Organic Search,Desktop,229,16
SES_000300,USER_000779,2025-12-06 17:47:22,Social Media,Mobile,72,20
SES_000301,USER_001941,2025-11-01 01:39:22,Referral,Desktop,64,20
SES_000302,USER_001982,2025-12-16 17:48:22,Email,Mobile,238,16
SES_000303,USER_000369,2025-12-01 18:38:22,Email,Tablet,40,18
SES_000304,USER_001703,2025-12-16 04:19:22,Email,Desktop,103,10
SES_000305,USER_000518,2025-12-16 14:10:22,Email,Desktop,180,8
SES_000306,USER_001095,2025-12-12 16:03:22,Email,Tablet,117,13
SES_000307,USER_000224,2025-11-23 09:44:22,Social Media,Tablet,162,3
SES_000308,USER_001981,2025-10-21 09:00:22,Referral,Tablet,739,13
SES_000309,USER_001409,2025-11-01 00:24:22,Social Media,Tablet,131,19
SES_000310,USER_000707,2025-12-01 18:46:22,Email,Tablet,211,5
SES_000311,USER_000703,2025-09-23 02:24:22,Organic Search,Tablet,27,10
SES_000312,USER_000138,2025-11-16 17:51:22,Email,Tablet,214,11
SES_000313,USER_001905,2025-10-27 13:09:22,Organic Search,Tablet,20,6
SES_000314,USER_001290,2025-10-21 03:29:22,Social Media,Mobile,47,13
SES_000315,USER_001213,2025-10-12 16:58:22,Email,Tablet,386,15
SES_000316,USER_001183,2025-11-12 23:18:22,Paid Search,Tablet,297,3
SES_000317,USER_001081,2025-10-03 04:29:22,Paid Search,Mobile,199,16
SES_000318,USER_001265,2025-12-09 21:56:22,Email,Mobile,78,15
SES_000319,USER_000489,2025-10-12 09:03:22,Direct,Tablet,25,4
SES_000320,USER_000786,2025-10-28 14:29:22,Paid Search,Mobile,163,19
SES_000321,USER_000592,2025-11-12 16:49:22,Referral,Desktop,145,16
SES_000322,USER_000280,2025-10-06 16:38:22,Direct,Mobile,545,16
SES_000323,USER_001001,2025-10-13 23:53:22,Email,Mobile,96,15
SES_000324,USER_000345,2025-10-10 13:54:22,Paid Search,Mobile,45,10
SES_000325,USER_001588,2025-11-17 06:05:22,Email,Desktop,153,9
SES_000326,USER_000210,2025-11-27 22:52:22,Organic Search,Mobile,142,14
SES_000327,USER_000900,2025-12-11 18:37:22,Organic Search,Mobile,356,3
SES_000328,USER_000340,2025-10-04 18:31:22,Direct,Tablet,169,14
SES_000329,USER_001223,2025-12-06 16:08:22,Paid Search,Tablet,77,9
SES_000330,USER_001844,2025-11-26 16:38:22,Social Media,Mobile,548,17
SES_000331,USER_001437,2025-12-14 14:26:22,Email,Mobile,363,5
SES_000332,USER_001183,2025-10-05 18:27:22,Paid Search,Tablet,89,5
SES_000333,USER_001423,2025-12-08 19:58:22,Email,Desktop,92,9
SES_000334,USER_001301,2025-11-06 01:49:22,Organic Search,Tablet,17,15
SES_000335,USER_000550,2025-12-14 09:40:22,Direct,Mobile,313,16
SES_000336,USER_000095,2025-10-30 20:39:22,Paid Search,Mobile,279,2
SES_000337,USER_001963,2025-10-02 08:08:22,Organic Search,Desktop,104,1
SES_000338,USER_000513,2025-11-12 18:02:22,Referral,Mobile,17,12
SES_000339,USER_000880,2025-09-29 23:00:22,Paid Search,Tablet,65,8
SES_000340,USER_001393,2025-12-11 14:03:22,Paid Search,Desktop,162,17
SES_000341,USER_000146,2025-11-14 11:18:22,Organic Search,Mobile,213,16
SES_000342,USER_000784,2025-10-18 23:23:22,Organic Search,Mobile,383,5
SES_000343,USER_000720,2025-10-07 08:01:22,Direct,Tablet,188,15
SES_000344,USER_001837,2025-10-17 08:05:22,Email,Mobile,353,3
SES_000345,USER_000508,2025-10-01 16:06:22,Referral,Mobile,67,5
SES_000346,USER_001737,2025-10-25 07:23:22,Direct,Tablet,60,1
SES_000347,USER_001606,2025-12-12 20:31:22,Direct,Mobile,63,2
SES_000348,USER_000740,2025-10-20 02:42:22,Email,Desktop,135,1
SES_000349,USER_001955,2025-10-29 15:42:22,Direct,Tablet,206,16
SES_000350,USER_001038,2025-09-28 11:55:22,Social Media,Desktop,534,13
SES_000351,USER_001102,2025-10-26 08:03:22,Email,Mobile,15,18
SES_000352,USER_001099,2025-12-06 15:35:22,Organic Search,Desktop,659,5
SES_000353,USER_001495,2025-10-30 23:55:22,Referral,Desktop,66,14
SES_000354,USER_001365,2025-10-19 12:33:22,Email,Tablet,168,10
SES_000355,USER_001072,2025-12-13 10:29:22,Referral,Desktop,32,12
SES_000356,USER_001580,2025-11-25 10:34:22,Paid Search,Mobile,237,4
SES_000357,USER_001017,2025-09-22 22:09:22,Direct,Tablet,664,3
SES_000358,USER_001832,2025-11-17 03:41:22,Direct,Desktop,53,4
SES_000359,USER_000501,2025-12-02 09:04:22,Referral,Desktop,352,1
SES_000360,USER_000460,2025-09-25 02:41:22,Paid Search,Desktop,144,14
SES_000361,USER_001029,2025-10-30 18:44:22,Social Media,Desktop,152,4
